Be.	Mo.	Set.pal	ae.	Cyc.bar	Des.gan	Mel.rep	Imp.sp.	Lep.pan	Phy.ama	J.	Man.uti	Cen.asi	Sco.dul	Ver.sp.	Thu.gra	Hed.aur	Mol.pen	Vit.qui	Thy.lat	Pae.pil	Sel.hel	Chr.odo	Phr.val	Sol.nig	Mim.dip	Aj.	Cyn.dac	Blu.lac	Ele.ind	The.sub	Spi.pan	Eup.hir	Bid.pil	Pen.pol	Oxa.cor	Cra.cre	Mit.vil	Not_identified	Pas.con	Dig.rad	Lyg.fle	Age.con	Con.sum	Plot1m2	LU	Field	Date
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	17	35	M1-M-1	M	M1	03/06/2016
0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	121	0	0	0	17	25	M1-M-2	M	M1	03/06/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	23	0	0	0	0	0	0	14	0	0	0	29	15	M1-M-3	M	M1	03/06/2016
0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	31	0	0	0	0	0	0	235	0	0	0	13	12	M1-M-4	M	M1	03/06/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	18	0	0	0	0	0	0	42	49	0	0	8	8	M1-M-5	M	M1	03/06/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2	0	0	0	16	0	0	0	0	121	889	M2-M-1	M	M2	03/09/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	17	0	0	0	1	52	0	0	0	4	211	343	M2-M-2	M	M2	03/09/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	28	0	0	0	3	14	0	0	0	0	275	274	M2-M-3	M	M2	03/09/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	13	0	0	0	0	482	240	M2-M-4	M	M2	03/09/2016
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	30	0	1	0	2	0	1	0	0	456	417	M2-M-5	M	M2	03/09/2016
