Plot1m2	Abundance	Richness	Fresh	Dry	Residues	Litter	Living_cover	Total_cover	Bulk_density	Plot1m2_Slope	Humidity	C	N	LU	Field
M1-M-1	58	4	42.67	141.67	62.97	204.64	NA	36.371	1.0263	24.4617609756	6.9846153846	2.21	0.187	M	M1
M1-M-2	199	5	106.15	144.84	113.96	258.8	NA	48.311	1.3008	17.5186159091	6.1230769231	1.98	0.174	M	M1
M1-M-3	82	5	71.99	152.92	198.95	351.87	NA	77.348	1.0377	17.8077795455	5.4846153846	1.9	0.164	M	M1
M1-M-4	295	7	0.61	154	68.85	222.85	NA	58.712	1.0502	21.6618333333	5.2230769231	1.57	0.138	M	M1
M1-M-5	130	7	44.24	103.36	29.59	132.95	NA	41.25	0.9746	10.0396145455	3.9923076923	1.6	0.134	M	M1
M2-M-1	1044	6	76.51	71.51	141.29	212.8	31.88	66.884	1.3828	32.6914571429	7.3769230769	1.23	0.112	M	M2
M2-M-2	636	7	63.35	56.78	231.38	288.16	27.21	74.683	1.2827	31.9032466667	7.6076923077	1.59	0.13	M	M2
M2-M-3	597	6	92.24	87.16	256.33	343.49	33.485	67.873	1.3467	31.2042285714	7.0846153846	1.08	0.101	M	M2
M2-M-4	741	5	35.77	261.39	316.79	578.18	23.825	64.071	1.3231	30.9667071429	7.8461538462	1.66	0.14	M	M2
M2-M-5	910	8	59.64	133.02	191.44	324.46	22.042	63.949	1.2566	34.9583785714	5.2	1.3	0.123	M	M2
M3-M-1	92	3	68.74	228.74	143.16	371.9	17.356	56.06	1.1973	28.0654222222	4.9153846154	1.52	0.154	M	M3
M3-M-2	137	2	148.69	117.67	135.46	253.13	17.816	58.778	1.1694	23.9877	2.9076923077	1.95	0.187	M	M3
M3-M-3	180	4	41.48	205.31	128.58	333.89	7.916	44.256	1.2996	23.2478277778	4.5769230769	1.74	0.158	M	M3
M3-M-4	148	3	50.11	105.56	151.79	257.35	14.747	44.023	1.1021	23.3672928571	3.0538461538	2.92	0.212	M	M3
M3-M-5	123	3	74.75	168.73	125.97	294.7	11.572	44.939	1.2737	24.94741875	4.6846153846	2.07	0.187	M	M3
M4-M-1	82	3	2.15	0	879.3	879.3	2.011	69.057	1.2919	16.8096666667	7.8384615385	2.13	0.205	M	M4
M4-M-2	41	2	18.78	29.12	212.95	242.07	9.75	56.233	1.1402	33.2628	9.3	2.95	0.263	M	M4
M4-M-3	91	4	6.07	0	147.93	147.93	4.052	51.356	1.0586	32.5533923077	6.7538461538	2.57	0.243	M	M4
M4-M-4	52	4	0	0.65	154.91	155.56	2.522	39.207	1.2972	31.6571066667	8.1769230769	2.05	0.209	M	M4
M4-M-5	27	3	0	0	246.34	246.34	0.448	54.181	1.1428	35.3128923077	8.3538461538	2.4	0.23	M	M4
M5-M-1	26	4	32.73	125.91	120.81	246.72	10.618	52.667	1.2761	23.9787466667	4.7461538462	2.2	0.192	M	M5
M5-M-2	32	6	28.24	210.27	181.11	391.38	21.729	60.85	1.1865	18.808875	5.8230769231	2.08	0.171	M	M5
M5-M-3	32	6	84.54	204.35	38.69	243.04	14.605	57.425	1.107	23.6523714286	5.4769230769	2.61	0.229	M	M5
M5-M-4	33	4	16.4	140.95	0	140.95	3.708	35.792	1.2971	11.45209625	3.4461538462	2.29	0.193	M	M5
M5-M-5	119	4	73.36	171.95	77.22	249.17	21.878	67.719	1.2865	21.75222	6.1230769231	1.89	0.165	M	M5
OR1-OR-1	220	10	14.02	0	440.06	440.06	13.128	97.375	1.2983	17.53958	12.8846153846	1.69	0.124	OR	OR1
OR1-OR-2	144	10	18.34	0	368.63	368.63	15.057	99.091	1.3383	15.2869266667	13.1692307692	1.92	0.133	OR	OR1
