"Square_id" "Abundance" "Richness" "Shannon" "Abundance.w2" "Abundance.2" "Shannon.w2" "Microplot_id" "Plot_id" "Crop" "Humidity"
"1" "M1-D16-M-1-1" 4 2 0.562335144618808 0 4 0 "M1-D16-M-1" "M1-D16" "M" 3.1
"2" "M1-D16-M-1-11" 3 1 0 0 3 0 "M1-D16-M-1" "M1-D16" "M" 9.3
"3" "M1-D16-M-1-13" 5 2 0.500402423538188 0 5 0 "M1-D16-M-1" "M1-D16" "M" 5.2
"4" "M1-D16-M-1-15" 2 2 0.693147180559945 1 1 0 "M1-D16-M-1" "M1-D16" "M" 5.8
"5" "M1-D16-M-1-17" 3 1 0 0 3 0 "M1-D16-M-1" "M1-D16" "M" 5.6
"6" "M1-D16-M-1-19" 0 0 0 0 0 0 "M1-D16-M-1" "M1-D16" "M" 10
"7" "M1-D16-M-1-21" 0 0 0 0 0 0 "M1-D16-M-1" "M1-D16" "M" 9.8
"8" "M1-D16-M-1-23" 1 1 0 0 1 0 "M1-D16-M-1" "M1-D16" "M" 8
"9" "M1-D16-M-1-25" 3 1 0 0 3 0 "M1-D16-M-1" "M1-D16" "M" 10.9
"10" "M1-D16-M-1-3" 1 1 0 1 0 0 "M1-D16-M-1" "M1-D16" "M" 4.8
"11" "M1-D16-M-1-5" 0 0 0 0 0 0 "M1-D16-M-1" "M1-D16" "M" 7.4
"12" "M1-D16-M-1-7" 5 1 0 0 5 0 "M1-D16-M-1" "M1-D16" "M" 2.8
"13" "M1-D16-M-1-9" 3 3 1.09861228866811 2 1 0.693147180559945 "M1-D16-M-1" "M1-D16" "M" 8.1
"14" "M1-D16-M-2-1" 1 1 0 0 1 0 "M1-D16-M-2" "M1-D16" "M" 14.7
"15" "M1-D16-M-2-11" 10 2 0.500402423538188 10 0 0.500402423538188 "M1-D16-M-2" "M1-D16" "M" 5.9
"16" "M1-D16-M-2-13" 9 3 0.848685557726417 7 2 0.410116318288409 "M1-D16-M-2" "M1-D16" "M" 3.6
"17" "M1-D16-M-2-15" 4 2 0.693147180559945 0 4 0 "M1-D16-M-2" "M1-D16" "M" 7.1
"18" "M1-D16-M-2-17" 5 2 0.673011667009257 3 2 0 "M1-D16-M-2" "M1-D16" "M" 1.8
"19" "M1-D16-M-2-19" 1 1 0 0 1 0 "M1-D16-M-2" "M1-D16" "M" 3.9
"20" "M1-D16-M-2-21" 4 2 0.562335144618808 0 4 0 "M1-D16-M-2" "M1-D16" "M" 10.1
"21" "M1-D16-M-2-23" 2 1 0 0 2 0 "M1-D16-M-2" "M1-D16" "M" 3.4
"22" "M1-D16-M-2-25" 5 3 0.950270539233235 1 4 0 "M1-D16-M-2" "M1-D16" "M" 8.7
"23" "M1-D16-M-2-3" 26 3 0.324508386931071 24 2 0 "M1-D16-M-2" "M1-D16" "M" 5.3
"24" "M1-D16-M-2-5" 3 3 1.09861228866811 2 1 0.693147180559945 "M1-D16-M-2" "M1-D16" "M" 4.8
"25" "M1-D16-M-2-7" 13 3 0.79026796807459 12 1 0.562335144618808 "M1-D16-M-2" "M1-D16" "M" 3.8
"26" "M1-D16-M-2-9" 7 3 1.07899220787758 7 0 1.07899220787758 "M1-D16-M-2" "M1-D16" "M" 6.5
"27" "M1-D16-M-3-1" 2 2 0.693147180559945 1 1 0 "M1-D16-M-3" "M1-D16" "M" 6
"28" "M1-D16-M-3-11" 4 3 1.03972077083992 2 2 0 "M1-D16-M-3" "M1-D16" "M" 3.6
"29" "M1-D16-M-3-13" 3 2 0.636514168294813 0 3 0 "M1-D16-M-3" "M1-D16" "M" 5.8
"30" "M1-D16-M-3-15" 3 3 1.09861228866811 2 1 0.693147180559945 "M1-D16-M-3" "M1-D16" "M" 5.2
"31" "M1-D16-M-3-17" 1 1 0 0 1 0 "M1-D16-M-3" "M1-D16" "M" 7.3
"32" "M1-D16-M-3-19" 6 1 0 0 6 0 "M1-D16-M-3" "M1-D16" "M" 3.4
"33" "M1-D16-M-3-21" 0 0 0 0 0 0 "M1-D16-M-3" "M1-D16" "M" 11.2
"34" "M1-D16-M-3-23" 3 2 0.636514168294813 1 2 0 "M1-D16-M-3" "M1-D16" "M" 8.4
"35" "M1-D16-M-3-25" 4 2 0.562335144618808 1 3 0 "M1-D16-M-3" "M1-D16" "M" 6.4
"36" "M1-D16-M-3-3" 8 3 1.08219553003877 6 2 0.693147180559945 "M1-D16-M-3" "M1-D16" "M" 0.8
"37" "M1-D16-M-3-5" 5 4 1.33217904021012 3 2 0.636514168294813 "M1-D16-M-3" "M1-D16" "M" 2
"38" "M1-D16-M-3-7" 3 3 1.09861228866811 2 1 0.693147180559945 "M1-D16-M-3" "M1-D16" "M" 8
"39" "M1-D16-M-3-9" 3 2 0.636514168294813 1 2 0 "M1-D16-M-3" "M1-D16" "M" 3.2
"40" "M1-D16-M-4-1" 7 5 1.5498260458782 4 3 1.03972077083992 "M1-D16-M-4" "M1-D16" "M" 10
"41" "M1-D16-M-4-11" 3 2 0.636514168294813 2 1 0 "M1-D16-M-4" "M1-D16" "M" 4.9
"42" "M1-D16-M-4-13" 9 1 0 9 0 0 "M1-D16-M-4" "M1-D16" "M" 5.6
"43" "M1-D16-M-4-15" 6 2 0.450561208866305 5 1 0 "M1-D16-M-4" "M1-D16" "M" 3.2
"44" "M1-D16-M-4-17" 16 3 0.46341355882643 15 1 0.244930026794635 "M1-D16-M-4" "M1-D16" "M" 2.1
"45" "M1-D16-M-4-19" 5 2 0.500402423538188 5 0 0.500402423538188 "M1-D16-M-4" "M1-D16" "M" 8.2
"46" "M1-D16-M-4-21" 5 2 0.500402423538188 1 4 0 "M1-D16-M-4" "M1-D16" "M" 4.6
"47" "M1-D16-M-4-23" 4 2 0.562335144618808 4 0 0.562335144618808 "M1-D16-M-4" "M1-D16" "M" 4.9
"48" "M1-D16-M-4-25" 1 1 0 1 0 0 "M1-D16-M-4" "M1-D16" "M" 3.2
"49" "M1-D16-M-4-3" 28 5 1.12659758676071 22 6 0.649687712747623 "M1-D16-M-4" "M1-D16" "M" 10
"50" "M1-D16-M-4-5" 23 1 0 23 0 0 "M1-D16-M-4" "M1-D16" "M" 3.9
"51" "M1-D16-M-4-7" 22 2 0.184907399167776 22 0 0.184907399167776 "M1-D16-M-4" "M1-D16" "M" 4.2
"52" "M1-D16-M-4-9" 25 2 0.167944147734173 24 1 0 "M1-D16-M-4" "M1-D16" "M" 3.1
"53" "M1-D16-M-5-1" 0 0 0 0 0 0 "M1-D16-M-5" "M1-D16" "M" 5.1
"54" "M1-D16-M-5-11" 6 2 0.693147180559945 6 0 0.693147180559945 "M1-D16-M-5" "M1-D16" "M" 1.9
"55" "M1-D16-M-5-13" 5 2 0.500402423538188 5 0 0.500402423538188 "M1-D16-M-5" "M1-D16" "M" 6.1
"56" "M1-D16-M-5-15" 4 2 0.562335144618808 3 1 0 "M1-D16-M-5" "M1-D16" "M" 5.2
"57" "M1-D16-M-5-17" 8 3 0.900256051268537 6 2 0.450561208866305 "M1-D16-M-5" "M1-D16" "M" 1.7
"58" "M1-D16-M-5-19" 6 2 0.450561208866305 6 0 0.450561208866305 "M1-D16-M-5" "M1-D16" "M" 1.3
"59" "M1-D16-M-5-21" 3 2 0.636514168294813 3 0 0.636514168294813 "M1-D16-M-5" "M1-D16" "M" 3.6
"60" "M1-D16-M-5-23" 3 2 0.636514168294813 0 3 0 "M1-D16-M-5" "M1-D16" "M" 2.8
"61" "M1-D16-M-5-25" 11 4 1.12095039267358 10 1 0.89794572485678 "M1-D16-M-5" "M1-D16" "M" 7.6
"62" "M1-D16-M-5-3" 5 1 0 5 0 0 "M1-D16-M-5" "M1-D16" "M" 4.7
"63" "M1-D16-M-5-5" 7 3 0.796311640173813 6 1 0.450561208866305 "M1-D16-M-5" "M1-D16" "M" 4.4
"64" "M1-D16-M-5-7" 8 2 0.376770161256437 7 1 0 "M1-D16-M-5" "M1-D16" "M" 1.3
"65" "M1-D16-M-5-9" 0 0 0 0 0 0 "M1-D16-M-5" "M1-D16" "M" 6.2
"66" "M1-R16-M-1-1" 3 2 0.636514168294813 0 3 0 "M1-R16-M-1" "M1-R16" "M" 12
"67" "M1-R16-M-1-10" 1 1 0 0 1 0 "M1-R16-M-1" "M1-R16" "M" 18
"68" "M1-R16-M-1-11" 2 2 0.693147180559945 1 1 0 "M1-R16-M-1" "M1-R16" "M" 15
"69" "M1-R16-M-1-12" 2 1 0 2 0 0 "M1-R16-M-1" "M1-R16" "M" 18
"70" "M1-R16-M-1-13" 1 1 0 1 0 0 "M1-R16-M-1" "M1-R16" "M" 21
"71" "M1-R16-M-1-14" 3 2 0.636514168294813 0 3 0 "M1-R16-M-1" "M1-R16" "M" 22
"72" "M1-R16-M-1-15" 2 1 0 0 2 0 "M1-R16-M-1" "M1-R16" "M" 21
"73" "M1-R16-M-1-16" 1 1 0 0 1 0 "M1-R16-M-1" "M1-R16" "M" 11
"74" "M1-R16-M-1-17" 1 1 0 0 1 0 "M1-R16-M-1" "M1-R16" "M" 15
"75" "M1-R16-M-1-18" 1 1 0 0 1 0 "M1-R16-M-1" "M1-R16" "M" 17
"76" "M1-R16-M-1-19" 6 3 0.867563228481461 1 5 0 "M1-R16-M-1" "M1-R16" "M" 14
"77" "M1-R16-M-1-2" 1 1 0 0 1 0 "M1-R16-M-1" "M1-R16" "M" 16
"78" "M1-R16-M-1-20" 1 1 0 0 1 0 "M1-R16-M-1" "M1-R16" "M" 21
"79" "M1-R16-M-1-21" 2 1 0 0 2 0 "M1-R16-M-1" "M1-R16" "M" 13
